T (K)	P (kPa)	Avg uP (kPa)
90.008	360.78	1.7923621521062163
90.008	360.8	1.7924615125004792
90.008	361.08	1.7938525580201579
90.49	373.079	1.8534638265581105
90.5	375.006	1.8630372005453288
90.54	376.017	1.8680598684753122
90.66	380.881	1.8922243163600192
90.68	379.259	1.8841661883853082
90.73	379.56300000000005	1.8856764663781027
91.0	388.902	1.9320728024791056
91.93	422.32300000000004	2.0981089893119176
93.0	462.086	2.295652357165456
93.0	462.097	2.2957070053823
94.5496	520.101	2.583872020823203
95.008	541.03	2.687847705399485
95.008	541.06	2.687996745990879
95.008	541.24	2.6888909895392445
96.0	583.155	2.897125535815457
96.0	583.156	2.89713050383517
96.8719	625.378	3.106890232163317
97.6856	663.192	3.2947509295959474
98.0	675.6469999999999	3.3566276151230907
99.2793	737.05	3.6616789295689527
99.5401	756.665	3.7591266362421702
100.009	779.03	3.8702363971265195
100.009	779.11	3.870633838703571
100.009	779.16	3.8708822396892275
100.01799999999999	778.158	3.8659042839366626
100.70700000000001	813.58	4.0418814782154655
101.0	833.567	4.141177288221971
101.647	870.4830000000001	4.324576703952203
102.137	898.2460000000001	4.462503835248075
102.43700000000001	920.0310000000001	4.570732144698804
103.0	952.575	4.732411378243193
103.49700000000001	982.852	4.882828111097896
104.113	1027.84	5.106329381952584
105.0	1083.3	5.381855755243262
105.01	1084.3	5.386823774956401
105.01	1084.5	5.387817378899029
105.01	1084.5	5.387817378899029
105.01	1084.6	5.388314180870342
105.86399999999999	1144.67	5.686743125038591
108.0	1302.82	6.472435442671491
108.272	1327.97	6.5973811384569325
109.24	1406.9	6.989506934414979
110.0	1465.77	7.2819742549274595
110.0	1465.81	7.2821729757159845
110.01	1465.11	7.278695361916787
110.01	1466.7	7.286594513260678
110.01100000000001	1466.9	7.287588117203307
110.01100000000001	1467.1	7.288581721145934
110.01100000000001	1467.1	7.288581721145934
110.749	1535.68	7.629288513072993
110.911	1537.53	7.638479349542299
110.911	1542.36	7.66247488475676
111.069	1566.89	7.784340408320055
112.0	1642.92	8.162058947109998
112.49700000000001	1682.32	8.357798923807666
112.98	1735.2	8.620507806238447
113.162	1755.39	8.72081212424672
113.499	1790.41	8.89479217460084
113.705	1806.43	8.974379850405324
113.926	1836.31	9.12282427943391
114.0	1835.05	9.116564574595355
114.486	1897.31	9.425873481935376
114.99	1936.0	9.618086164636717
115.0	1937.01	9.623103864546987
115.012	1938.7	9.631499817862192
115.012	1939.1	9.633487025747447
115.012	1939.1	9.633487025747447
115.046	1955.37	9.714316706480215
116.0	2043.03	10.149813314533963
117.0	2153.27	10.697487807710385
117.0	2153.3	10.69763684830178
117.303	2192.37	10.891737378494112
117.844	2255.29	11.204325178844805
118.0	2267.83	11.266624146047565
118.29299999999999	2317.3	11.512392081256543
118.99	2385.7	11.852204629635235
119.0	2386.88	11.85806689289674
120.0	2510.59	12.472660611609141
120.00200000000001	2504.62	12.443001533921702
120.01299999999999	2512.6	12.48264633123255
120.01299999999999	2513.1	12.48513034108912
120.01299999999999	2513.2	12.485627143060432
120.01299999999999	2513.8	12.488607954888318
120.774	2614.49	12.988837859804262
120.96	2633.9	13.085267122436287
121.0	2639.14	13.111299545733132
121.02799999999999	2648.33	13.15695564689688
122.0	2772.73	13.774977299211345
122.01299999999999	2775.4	13.788241911845427
122.01299999999999	2775.5	13.788738713816741
122.01299999999999	2775.7	13.789732317759368
122.01299999999999	2776.4	13.793209931558566
122.01899999999999	2778.59	13.80408989473034
122.5	2841.52	14.116727375278163
123.0	2911.65	14.465134597760589
123.0	2911.71	14.465432678943376
123.01	2913.0	14.471841424373325
123.5	2983.21	14.8206460884328
124.0	3056.23	15.183410887886195
124.01299999999999	3058.6	15.195185094606334
124.01299999999999	3059.3	15.198662708405532
124.01299999999999	3060.1	15.202637124176043
124.088	3073.49	15.26915890813497
124.4	3115.72	15.478958380620822
124.7	3161.0	15.703910313231749
125.0	3206.86	15.931743697276294
125.0	3206.86	15.931743697276294
125.238	3246.15	16.126937191805517
125.25	3245.58	16.124105420569027
125.25	3245.58	16.124105420569027
125.5	3284.75	16.318702752732673
125.5	3284.75	16.318702752732673
125.7	3316.42	16.47603993704778
125.7	3316.42	16.47603993704778
125.85	3340.39	16.595123369571716
125.85	3340.39	16.595123369571716
125.95	3356.47	16.675009126558987
125.95	3356.47	16.675009126558987
126.014	3361.2	16.698507859802135
126.014	3366.7	16.725831968224398
126.014	3367.8	16.731296789908853
126.02	3367.77	16.731147749317458
126.02	3367.8	16.731296789908853
126.08	3377.51	16.77953626132343
126.08	3377.55	16.779734982111957
126.12	3384.04	16.811977430050227
126.12	3384.08	16.812176150838752
126.15	3388.97	16.836469767236
126.15	3388.98	16.836519447433133
126.17	3392.25	16.852764871895097
126.20700000000001	3400.0	16.891267024671922
126.20700000000001	3397.8	16.88033738130302
