T (K)	P (kPa)	Avg uP (kPa)
88.84	87.7272	0.7766831425616612
89.0081	89.3846	0.7913567516644445
89.56	94.59700000000001	0.8375041633256899
89.74	96.7958	0.8569709979432837
89.94	98.6319	0.8732267078947864
89.94	98.6452	0.8733444579859334
90.0081	99.4025	0.8800491304690623
90.05	100.2	0.8871097092427257
90.13	100.626	0.8908812535155541
90.14	101.315	0.8969812394403868
90.1881	101.294	0.8967953182438388
90.19	101.33	0.8971140402950638
90.193	101.28	0.8966713707794737
90.196	101.32	0.8970255063919458
90.196	101.33	0.8971140402950638
90.41	103.544	0.916715446445397
90.44	103.73700000000001	0.9184241507755753
90.49	104.395	0.924249681600742
90.5	104.34299999999999	0.9237893053045282
90.6	106.06700000000001	0.9390525502020778
90.75	107.87100000000001	0.9550240663245716
90.96	109.77600000000001	0.9718897748685575
91.0081	110.266	0.9762279361213413
91.07	110.363	0.9770867149815862
91.16	111.40700000000001	0.9863296544671093
91.41	115.51100000000001	1.0226639683067515
91.9	120.87100000000001	1.0701181403780191
92.0081	122.01899999999999	1.0802818324559695
92.51100000000001	128.25	1.135447307488818
92.512	128.25	1.135447307488818
92.51299999999999	128.26	1.135535841391936
92.514	128.28	1.1357129091981721
92.59	128.58100000000002	1.1383777796820251
92.62	129.737	1.14861229888247
92.72	130.811	1.1581208400773473
93.0081	134.709	1.192631355512758
93.17	139.254	1.2328700144799054
93.5499	141.47	1.2524891274108623
94.0082	148.388	1.31373688158792
94.4196	153.518	1.3591547738874727
95.007	163.07	1.4437223581458212
95.007	163.07	1.4437223581458212
95.008	163.08	1.4438108920489394
95.0082	163.107	1.444049933587358
95.01299999999999	163.14	1.4443420954676474
95.01299999999999	163.16	1.4445191632738834
95.015	163.19	1.4447847649832375
95.015	163.21	1.4449618327894738
95.01799999999999	163.23	1.4451389005957096
95.01899999999999	163.26	1.4454045023050637
95.02	163.25	1.4453159684019459
96.0082	178.905	1.583915793733232
97.0092	195.824	1.733706304418638
97.182	198.88	1.7607622652115098
97.186	198.98	1.76164760424269
97.189	199.02	1.7620017398551624
97.2	199.21	1.7636838840144051
97.204	199.29	1.7643921552393493
97.501	204.59	1.8113151238919087
97.50399999999999	204.64	1.8117577934074989
97.505	204.66	1.811934861213735
97.512	204.79	1.8130858019542693
98.0093	213.942	1.8941120300878964
98.4284	221.192	1.958299109848473
98.7583	228.99400000000003	2.0273732610611654
99.0093	233.28900000000002	2.065398572450362
99.4981	241.63	2.139244701041116
100.0	253.81	2.2470789950388843
100.00299999999999	253.89	2.2477872662638285
100.005	253.91	2.2479643340700646
100.007	253.97	2.2484955374887727
100.009	253.92700000000002	2.2481148417053656
100.009	254.01	2.248849673101245
100.009	254.02	2.2489382070043633
100.01	254.0	2.2487611391981273
100.015	254.14	2.2500006138417796
100.015	254.15	2.2500891477448977
100.016	254.18	2.2503547494542517
100.01799999999999	253.502	2.244352150822849
100.024	254.32	2.251594224097904
101.01	275.91200000000003	2.4427566277103687
101.12799999999999	278.137	2.462455421154132
102.01	299.283	2.649669212687532
102.071	300.97	2.6646048821435446
102.089	301.38	2.6682347721713837
102.09	301.37	2.668146238268266
102.09299999999999	301.48	2.6691201112025644
102.098	301.62	2.670359585846217
102.51700000000001	311.98	2.762080709476503
103.01	324.095	2.869339533104004
104.01	350.413	3.1023430593300523
104.186	356.259	3.1540999790928566
105.006	378.39	3.350034360083383
105.007	378.43	3.350388495695855
105.008	378.53	3.3512738347270354
105.01	378.54	3.351362368630154
105.01100000000001	378.277	3.3490339269781493
105.505	392.736	3.477045097496518
106.01100000000001	407.70099999999996	3.6095360835126593
106.444	421.51199999999994	3.7318102571089797
107.01100000000001	438.899	3.88574415446031
107.86200000000001	468.223	4.14536097196364
108.012	471.776	4.176817067741479
108.162	481.50699999999995	4.262969408865639
109.012	506.413	4.483471947971422
109.85	538.745	4.769719763532657
109.999	542.93	4.806771201987555
110.001	543.03	4.807656541018735
110.007	543.34	4.810401092015395
110.01	541.621	4.795182114069404
110.01	543.38	4.810755227627867
110.012	542.89	4.806417066375083
110.012	543.56	4.812348837883992
110.01299999999999	543.49	4.811729100562165
110.01299999999999	543.54	4.8121717700777555
110.014	543.53	4.8120832361746375
110.014	543.64	4.813057109108936
110.015	543.58	4.8125259056902285
