# Data to 'Parameterization of two-center Lennard-Jones plus pointquadrupole force field models by multicriteria optimization'
# Three-criteria scenario
Substance sigma epsilon L Q density pressure surface_tension Tc 
N2 3.3279 34.8703 1.0212 1.1825 0.50105 0.52654 18.8016 -0.74536 
N2 3.3497 33.7345 0.9757 1.4185 0.36371 0.74943 18.7953 -0.61836 
N2 3.3279 34.8702 1.0214 1.1848 0.49886 0.52888 18.7853 -0.74274 
N2 3.3278 34.8702 1.0215 1.1871 0.49656 0.53144 18.7678 -0.73995 
N2 3.3278 34.8702 1.0217 1.1894 0.49431 0.53402 18.7512 -0.73727 
N2 3.3277 34.8701 1.0218 1.1912 0.49234 0.53635 18.7374 -0.735 
N2 3.3277 34.8701 1.022 1.1943 0.48944 0.53989 18.7152 -0.73145 
N2 3.3276 34.8701 1.0222 1.1964 0.48722 0.54269 18.6991 -0.72884 
N2 3.3276 34.87 1.0223 1.1987 0.48486 0.54575 18.6817 -0.72603 
N2 3.3477 33.8151 0.9801 1.4146 0.35751 0.76637 18.6663 -0.60756 
N2 3.3275 34.87 1.0225 1.2015 0.48208 0.54948 18.6602 -0.72263 
N2 3.3312 34.8644 1.0191 1.1382 0.60747 0.49626 18.6407 -0.76638 
N2 3.3274 34.8705 1.0229 1.2052 0.47809 0.55502 18.6301 -0.71787 
N2 3.3273 34.8708 1.023 1.2074 0.47582 0.5583 18.6126 -0.71512 
N2 3.3273 34.871 1.0232 1.209 0.474 0.56096 18.5991 -0.71299 
N2 3.3473 33.8223 0.98112 1.4195 0.34855 0.7891 18.585 -0.59607 
N2 3.3272 34.8714 1.0234 1.2118 0.47117 0.56521 18.5768 -0.70949 
N2 3.3271 34.8717 1.0236 1.2138 0.469 0.56855 18.5604 -0.7069 
N2 3.3271 34.872 1.0237 1.2158 0.46679 0.57201 18.5439 -0.70428 
N2 3.3467 33.8441 0.98252 1.4202 0.34417 0.8008 18.5281 -0.58979 
N2 3.327 34.8724 1.0239 1.2182 0.46424 0.57609 18.5243 -0.70118 
N2 3.3449 33.9381 0.98638 1.4049 0.35388 0.7784 18.5195 -0.59847 
N2 3.3269 34.8728 1.0242 1.2217 0.46038 0.58243 18.4946 -0.69653 
N2 3.3455 33.8983 0.98526 1.4158 0.34277 0.80575 18.4649 -0.58602 
N2 3.3268 34.8733 1.0246 1.2257 0.45604 0.58978 18.4616 -0.6913 
N2 3.3267 34.8738 1.0249 1.2297 0.45168 0.59741 18.4283 -0.68604 
N2 3.3448 33.922 0.98673 1.4162 0.33861 0.81718 18.4083 -0.57995 
N2 3.3266 34.8742 1.0252 1.2326 0.4481 0.60384 18.4009 -0.68179 
N2 3.3264 34.8749 1.0256 1.2382 0.44214 0.61489 18.3552 -0.67452 
N2 3.3263 34.8753 1.026 1.2421 0.43772 0.62333 18.3214 -0.6692 
N2 3.3436 33.9692 0.98963 1.4168 0.33114 0.83818 18.305 -0.56892 
N2 3.3262 34.8758 1.0263 1.246 0.43317 0.63224 18.2861 -0.66369 
N2 3.3261 34.8761 1.0265 1.2483 0.43053 0.63751 18.2662 -0.66052 
N2 3.326 34.8764 1.0267 1.2505 0.42801 0.64261 18.2468 -0.65748 
N2 3.3259 34.8766 1.027 1.254 0.42392 0.651 18.2156 -0.65254 
N2 3.3425 34.0095 0.99213 1.4175 0.32359 0.8596 18.2035 -0.55795 
N2 3.3258 34.8768 1.0274 1.2579 0.41949 0.66027 18.1818 -0.64719 
N2 3.3257 34.877 1.0277 1.2616 0.41511 0.66961 18.1484 -0.6419 
N2 3.3256 34.8772 1.0279 1.2645 0.4114 0.67766 18.1195 -0.63744 
N2 3.3255 34.8775 1.0284 1.2697 0.40554 0.69062 18.0753 -0.63032 
N2 3.3253 34.8777 1.0287 1.2733 0.40119 0.70041 18.0415 -0.62503 
N2 3.3252 34.8779 1.0291 1.277 0.39656 0.71101 18.0063 -0.61946 
N2 3.3251 34.8781 1.0295 1.2815 0.39123 0.72342 17.9655 -0.61297 
N2 3.325 34.8787 1.0297 1.2843 0.38757 0.73207 17.9368 -0.60854 
N2 3.3371 34.2454 1.0042 1.3997 0.31633 0.88725 17.9288 -0.54072 
N2 3.3249 34.8794 1.0301 1.2877 0.38331 0.74228 17.9039 -0.60336 
N2 3.3247 34.8801 1.0305 1.2913 0.37894 0.75288 17.8697 -0.59801 
N2 3.3246 34.8806 1.0307 1.2939 0.37533 0.76174 17.8407 -0.5936 
N2 3.3245 34.8815 1.0312 1.2985 0.36979 0.77548 17.7985 -0.58684 
N2 3.3243 34.8822 1.0315 1.3018 0.36549 0.78629 17.7647 -0.58158 
N2 3.3242 34.8829 1.0319 1.3051 0.36111 0.79741 17.7301 -0.5762 
N2 3.3241 34.8836 1.0323 1.309 0.35617 0.81009 17.6918 -0.57016 
N2 3.3356 34.2766 1.0078 1.415 0.28899 0.96599 17.6794 -0.50507 
N2 3.324 34.8837 1.0326 1.3122 0.35197 0.82096 17.6596 -0.56503 
N2 3.3328 34.4163 1.0139 1.3967 0.29734 0.94748 17.6266 -0.51128 
N2 3.3239 34.8837 1.0329 1.3157 0.34759 0.83241 17.6259 -0.55967 
N2 3.3238 34.8838 1.0333 1.319 0.34325 0.84386 17.5924 -0.55434 
N2 3.3237 34.8839 1.0335 1.3217 0.33939 0.85413 17.5615 -0.54959 
N2 3.3235 34.8839 1.0339 1.3261 0.33396 0.8687 17.5208 -0.54293 
N2 3.3234 34.884 1.0343 1.3293 0.32971 0.88024 17.487 -0.53765 
N2 3.3233 34.884 1.0346 1.3327 0.32513 0.89274 17.452 -0.53205 
N2 3.3232 34.8841 1.035 1.3367 0.31991 0.90714 17.4118 -0.52559 
N2 3.3315 34.4434 1.0172 1.4112 0.27194 1.0234 17.3961 -0.47796 
N2 3.3231 34.8845 1.0353 1.3392 0.31634 0.91711 17.383 -0.52115 
N2 3.3229 34.885 1.0356 1.3422 0.31226 0.92855 17.3502 -0.51602 
N2 3.3228 34.8856 1.036 1.3454 0.30793 0.94081 17.3165 -0.51064 
N2 3.3227 34.886 1.0362 1.3478 0.30426 0.95128 17.2859 -0.506 
N2 3.3308 34.4592 1.0189 1.4179 0.25974 1.0613 17.282 -0.46164 
N2 3.3303 34.4859 1.0201 1.4147 0.26018 1.0612 17.2594 -0.46127 
N2 3.3226 34.8867 1.0367 1.3518 0.29914 0.96596 17.2471 -0.49964 
N2 3.3224 34.8872 1.037 1.3547 0.29504 0.97783 17.2138 -0.49444 
N2 3.3296 34.5094 1.0217 1.4167 0.25499 1.0783 17.2006 -0.45392 
N2 3.3223 34.8877 1.0374 1.3577 0.2907 0.99048 17.1795 -0.48902 
N2 3.3222 34.8883 1.0378 1.3612 0.28604 1.0042 17.1423 -0.4831 
N2 3.3221 34.8885 1.038 1.3639 0.28209 1.0159 17.1112 -0.47814 
N2 3.3292 34.5141 1.0228 1.4234 0.24428 1.1122 17.1069 -0.43963 
N2 3.322 34.8888 1.0384 1.3669 0.27795 1.0282 17.0776 -0.47283 
N2 3.3219 34.8891 1.0387 1.37 0.27367 1.041 17.0437 -0.46739 
N2 3.3289 34.5184 1.0238 1.4294 0.23483 1.1429 17.0237 -0.42684 
N2 3.3218 34.8893 1.039 1.3724 0.26992 1.0524 17.0119 -0.46253 
N2 3.3216 34.8896 1.0394 1.3762 0.26493 1.0676 16.9736 -0.45619 
N2 3.3215 34.8899 1.0398 1.379 0.26087 1.0801 16.9403 -0.45093 
N2 3.3214 34.8902 1.0401 1.382 0.25654 1.0935 16.9046 -0.4453 
N2 3.3212 34.8905 1.0405 1.3856 0.25174 1.1085 16.867 -0.4391 
N2 3.3274 34.5641 1.0272 1.4355 0.22 1.1943 16.8589 -0.40526 
N2 3.3211 34.8911 1.0408 1.3878 0.2483 1.1194 16.8374 -0.43456 
N2 3.321 34.8918 1.0411 1.3905 0.24447 1.1315 16.8052 -0.42948 
