T (K)	rhol (kg/m3)	Avg urho (kg/m3)
303.15	1606.5	3.3097137459726165
303.15	1606.36	3.3094253177594593
303.15	1606.36	3.3094253177594593
303.15	1606.36	3.3094253177594593
303.15	1606.35	3.309404715744234
303.15	1606.36	3.3094253177594593
303.15	1606.37	3.309445919774685
303.15	1606.4	3.3095077258203616
303.15	1606.36	3.3094253177594593
303.15	1606.37	3.309445919774685
303.15	1606.36	3.3094253177594593
303.15	1606.36	3.3094253177594593
303.15	1606.52	3.309754950003067
303.15	1606.36	3.3094253177594593
303.15	1606.41	3.3095283278355874
303.15	1606.4	3.3095077258203616
303.15	1606.9	3.3105378265816356
303.15	1606.36	3.3094253177594593
303.15	1606.39	3.309487123805136
303.15	1606.39	3.309487123805136
303.15	1607.24	3.3112382950993013
306.95	1599.6	3.2954983554670383
308.0	1599.2	3.2946742748580196
308.074	1597.76	3.291707584665551
308.075	1597.76	3.291707584665551
308.15	1598.0	3.2922020330309625
308.15	1599.0	3.2942622345535097
308.15	1597.9	3.2919960128787076
308.15	1597.98	3.2921608290005113
310.05	1594.4	3.2847853075497913
313.13	1589.42	3.2745255039675047
313.14	1589.99	3.2756998188353563
313.14	1589.87	3.2754525946526507
313.144	1589.26	3.274195871723897
313.145	1589.27	3.274216473739122
313.15	1589.87	3.2754525946526507
313.15	1590.0	3.275720420850582
313.15	1590.53	3.2768123276575323
313.95	1588.1	3.2718060379577416
315.35	1585.7	3.266861554303628
318.211	1580.74	3.2566429547517917
318.212	1580.74	3.2566429547517917
323.127	1572.48	3.2396256901755494
333.124	1555.45	3.204540458246565
343.124	1538.08	3.168754757799914
353.12300000000005	1520.75	3.133051465414165
363.12300000000005	1503.04	3.0965652964498482
373.124	1485.53	3.060491167790041
393.12699999999995	1448.4	2.983995885257851
393.12699999999995	1448.9	2.985025986019125
